1,"Wohnbau GmbH","Philosophenring 2",Bonn,53177,0228-320-0,0228-327-179,info@wohnbau-gmbh.de
26,"Amrop Delta - Delta Management Consultants GmbH","Oststraße 54-56",Düsseldorf,40211,0211-179249-0,0211-179249-10,duesseldorf@amrop.de
3,"Watermann GmbH & Co. KG ","Kieferstraße 42 ","Dortmund ",44225,0231-77591-0,0234-77591-33,"info@watermann-gmbh.de "
4,"Siemens AG","Mellinghofer Straße 55","Mülheim an der Ruhr",45473,0208-456-0,,
5,"HOCHTIEF Solutions AG ","Alfredstraße 236  ",Essen,"45133 ","0201-824-8339  ",,"kirstin.forst@hochtief.de "
6,"Fuji Photo Film ","Heesenstraße 31 ","Düsseldorf ","40549 ","0211 5089254 ",,
7,"COHAUSZ & FLORACK Patent- und Rechtsanwälte ","Bleichstraße 14 ",Düsseldorf,40211,"0211-90 490-0 ",,"d.fleischer@cohausz-florack.de "
8,"BITMARCK HOLDING GmbH ","Brunnenstraße 15-17 ","Essen ","45128 ","0201 89069 000  ","0201 89069 199","info@bitmarck.de "
9,"NATIONAL BANK AG ","Rüttenscheider Straße 125 ","Essen ","45130 ","0201-81150 ",,"maike.roeseler@national-bank.de "
10,"Signal Iduna ","Joseph-Scherer Str. 3 ","Dortmund ",44139,"0231 13500 ",,
18,expositio,"Lothringer Str. 38",Bochum,44805,"0234 4387314",,hello@expositio.de
21,"MICROSENS GmbH & Co. KG","Küferstraße 16",Hamm,59067,02381-9452-0,02381-9452-100,info@microsens.de
2,"ILME GmbH","Max-Planck-Str. 12",Wiehl,51674,"02261-7955-0 ",02261-7955-9,technik@ilme.de
23,"3M Deutschland GmbH","Carl-Schurz-Straße 1",Neuss,41453,02131-14-0,"02131-14-2649 ",innovation.de@3m.com
22,"Gelsenkirchener Werkstätten für angepasste Arbeit gGmbH","Braukämperstraße 100",Gelsenkirchen,45899,0209-95896-0,0209-95896-88,
25,"neGxt ITK GmbH","Schmiedstraße 10e",Germering,82110,089-12287-290,089-12287-997,j.poth@negxt-itk.de
24,"RAG Mining Solutions GmbH","Shamrockring 1",Herne,44623,02323-15-5300,02323-15-5303,info@ragms.com
12,"RAG Aktiengesellschaft","Shamrockring 1",Herne,44623,02323-15-0,02323-15-2020,post@rag.de
15,"Siemens Audiologische Technik GmbH","Henri-Dunant-Straße 100",Erlangen,91058,09131-3080,,
31,"ABC Verbindungstechnik ","Kölner Straße 64",Gevelsberg,58285,"02333 7990",,
32,"ABP Induction Systems","Kanalstrasse 25",Dortmund,44147,"0231 9970",,
33,"Absolut Metallbau","Bünnerhelfstrasse 28",Dortmund,44379,"0231 9651060",,
34,"ABW Elsebrock Ambulant Betreutes Wohnen im Rheinland","Bosmannshof 3",Wesel,46485,0177-3612049,0281-2065596,elsebrock(@)abw-elsebrock.de
35,"Arcado Group","Europaplatz 9",Dortmund,44269,,,
36,"Accenture GmbH","Kaistraße 20",Düsseldorf,40221,"0211 912030","0211 912031",Accenture.direct.ela@accenture.com
37,"HOPPECKE Batterien ","Bontkirchener Straße 1",Brilon,59929,"02963 610",,
38,"Achenbach Buschhütten ",Siegenerstr.152,Kreuztal,57223,"02732 7990",,
45,"Adept Technology GmbH","Höfkerstraße 22a",Dortmund,44149,"0231 75894 0","0231 75894 50",info.de@adept.com
46,Adesso,"Stockholmer Allee 24",Dortmund,44269,0231-930-9330,,
49,"RWE Power AG","Huyssenallee 2",Essen,45128,"0201-12-01 ",0201-12-24313,
50,"TGR GmbH","Viktoriastraße 10",Bochum,44787,0234-588065-0,,info@egr-bochum.de
52,"Medtronic GmbH","Earl-Bakken-Platz 1",Meerbusch,40670,02159-8149-0,02159-8149-100,webmaster.deutschland@medtronic.com
54,"Thalia Holding GmbH","Kabeler Straße 4",Hagen,58099,,,
55,"GBTEC Software + Consulting AG","Universitätsstraße 142",Bochum,44799,0234-97645-100,0234-97645-101,info@gbtec.de
57,"Nagels Druck GmbH","Am Selder 21",Kempen,47906,02152-2099-0,02152-2099-42,
58,"Materna GmbH","Voßkuhle 37",Dortmund,44141,0231-5599-00,0231-5599-100,marketing@materna.de
59,Agri-Capital,"Hafenweg 15",Münster,48155,0251-27601-100,,
60,"Air Liquide Deutschland","Hans-Günther-Sohl-Straße 5",Düsseldorf,40235,0211-66990,,
61,"Air Products","Rensingstr. 7",Bochum,44801,"0234 610560",,gersmac@airproducts.com
62,"Alpmann Fröhlich Rechtsanwaltsgesellschaft","Verspoel 12",Münster,48143,"0251 4 17 01-0",,
63,"ALSO Deutschland GmbH","Lange Wende 43 ",Soest,59494,"02921 99 0","02921 99 3399",info@also.com
64,"Alte Oldenburer Krankenversicherung VVaG","Theodor Heuss Str. 96",Vechta,49377,04441-905138,,
65,"Anlagenbau Stampfer","Leichtmetallstr. 26 – 30",Haan,42781,"02104 69190",,
66,"Anton Uhlenbrock ","Siemensstr. 41",Steinfurt,48565,"02552 93330",,r.hundeler@uhlenbrock.ort
